articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
CARPS_8-12-2014-PS,4.65,4.5,t,3.2258064516129106,MINOR_ERROR,NA
CARPS_8-12-2014-PS,.001,1.2995487630110915e-5,p,NA,MATCH,TRUE
CARPS_8-12-2014-PS,164,160,df,2.4390243902439024,MINOR_ERROR,NA
CARPS_8-12-2014-PS,2.3,2.17,t,5.652173913043474,MINOR_ERROR,NA
CARPS_8-12-2014-PS,0.028,0.038,p,35.71428571428571,MAJOR_ERROR,NA
CARPS_8-12-2014-PS,32,30,df,6.25,MINOR_ERROR,NA
CARPS_8-12-2014-PS,0.17,0.13,t,23.529411764705884,MAJOR_ERROR,NA
CARPS_8-12-2014-PS,0.868,0.9,p,3.6866359447004644,MINOR_ERROR,NA
CARPS_8-12-2014-PS,192,43,df,77.60416666666666,MAJOR_ERROR,NA
